sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,batch
5.048357076505616,3.1446942795315262,1.4943065614302078,0.35230298564080254,setosa,drifted
4.682923312638332,3.106345217220328,1.7737638446522175,0.2767434729152909,setosa,drifted
4.565262807032524,3.417024017434386,1.1609746921562614,0.1534270246429743,setosa,drifted
4.920981135783017,2.434687902136881,0.7825246502460902,0.14377124707590275,setosa,drifted
4.293584439832788,3.32569893303811,1.0275927773436369,0.05876962986647086,setosa,drifted
5.532824384460777,3.109689479805386,1.3202584614063773,0.05752518137865434,setosa,drifted
4.527808637737408,3.2443690358839468,0.9547019267733092,0.23756980183456722,setosa,drifted
4.499680655040597,3.0833225000826894,1.119488016331181,0.3852278184508938,setosa,drifted
4.793251387631033,2.77691562841764,1.5467634736309568,0.07791563500289778,setosa,drifted
4.904431797502378,2.41613195044809,0.9015441853304709,0.21968612358691236,setosa,drifted
5.169233289997705,3.2685473124759885,1.265305515283528,0.16988963044107114,setosa,drifted
4.060739004816286,2.9120623166421167,1.1618083687120637,0.30571222262189157,setosa,drifted
4.97180914478423,2.4947839378549066,1.3972251908184385,0.16149177195836836,setosa,drifted
4.46153899984702,3.4446705155363473,1.6092998567487853,0.29312801191161986,setosa,drifted
4.380391238388681,3.0763150496595144,1.3993790294210693,0.29755451271223593,setosa,drifted
4.5604128810773545,3.1257364093344733,0.9680995077981915,0.08037933759193293,setosa,drifted
5.206262911197099,3.7424960114283294,1.2783969635258998,0.30035328978920245,setosa,drifted
4.980818012523817,2.9419520981579503,1.4084186816525242,0.35380365664659696,setosa,drifted
4.782086980445024,3.8258574623256028,0.5140764687730768,0.2821902504375224,setosa,drifted
4.843523534119085,3.080397059813653,1.3275282329606508,0.00124310853991072,setosa,drifted
6.124262489729991,3.078556285755873,5.38673642684491,1.2445189345179057,versicolor,drifted
5.65320511768545,2.6491214782077317,5.049241270621245,1.4986253328979053,versicolor,drifted
5.876191836986369,3.156633716556678,4.558246529608824,1.6905934971598666,versicolor,drifted
5.738357524898118,2.736168926701116,4.264735108120705,0.9609455155603643,versicolor,drifted
6.536896221651661,3.0305276360899445,4.503068073985476,1.329623859987456,versicolor,drifted
5.167703406359668,2.6896773386173205,4.294371290083938,1.1593168192335144,versicolor,drifted
6.170971430667192,3.102025428407269,5.631711540726318,1.4523733438495516,versicolor,drifted
6.506040312578211,2.8627770421169165,3.348737270820575,1.392045837365235,versicolor,drifted
6.348184167952821,4.131621056242643,4.384583421131326,1.4904642027000836,versicolor,drifted
6.272230584235805,2.315660981190234,5.185693688709012,1.6255799098060322,versicolor,drifted
6.9328255576344375,2.4453062726026307,5.341676586561659,0.9794446811623156,versicolor,drifted
6.769485675040216,3.9952278129049894,3.9056782049215872,1.2301106811191684,versicolor,drifted
6.379721092070112,2.6482621729419002,3.5696019413603204,1.420568892441808,versicolor,drifted
5.450157029019116,3.136796215317591,3.948345459459718,1.8649803215052616,versicolor,drifted
5.67339736613101,2.7389692418971623,4.988110330421802,1.0307407050698134,versicolor,drifted
6.481967947683303,3.553571377141214,3.5355100592632636,1.4553901575596913,versicolor,drifted
6.507906235398739,3.2909114358886553,3.757829573473151,1.003863016074717,versicolor,drifted
6.717553252493518,3.048492336616593,4.6502957102075255,1.5039344628490927,versicolor,drifted
5.755980222737207,3.0161268485805017,4.675843483979209,1.1856945745920895,versicolor,drifted
7.792619608915805,3.1369164604558937,3.785217901678411,1.5969660825901488,versicolor,drifted
5.520254663818143,3.2935423018712258,5.195157347404442,1.1537953044944869,versicolor,drifted
7.0707009033954575,3.106390463468249,4.993236095996694,1.969037894796184,versicolor,drifted
6.1036895071977035,2.5231319178212552,3.966291342224686,1.1552569145103684,versicolor,drifted
6.238318632468716,3.070575987408322,4.666014479598012,1.648154974710807,versicolor,drifted
6.310401513502326,3.6267670385786586,4.3412059000572265,2.2160507499768856,versicolor,drifted
6.800533878212005,2.4714212217918585,3.8574645011633324,1.5447417245729556,versicolor,drifted
6.121229771739319,3.257000247046046,4.783942574744127,1.3781513262029381,versicolor,drifted
5.622565025545276,2.1425763876570674,4.232091028759787,1.6569196382970417,versicolor,drifted
6.471274995304163,2.277130610644006,4.603908555510709,1.515595213918651,versicolor,drifted
5.592914051039093,2.9768625529727637,4.5349252310676,1.057108910650813,versicolor,drifted
6.586229888278626,3.180392263184117,5.149830745905167,1.7161406156104708,versicolor,drifted
5.1978645056343264,2.4310874800424385,4.809021160325196,1.5541357852736626,versicolor,drifted
6.712038149044838,4.826365745327361,4.8425343064159,1.7406696920541795,versicolor,drifted
7.063201410794562,3.225695625652899,4.310838453215792,1.62769076614798,versicolor,drifted
5.681739828369942,2.7815906966299955,4.208781871302538,1.4245622418158967,versicolor,drifted
8.151726853338808,1.9663674037041259,4.911756114224708,0.9161852386431044,versicolor,drifted
5.922454507368453,3.444475298483683,4.5385680114572775,1.0766765666212081,versicolor,drifted
5.7277570325920255,3.239798874467338,4.061780020969718,1.4649375768745925,versicolor,drifted
6.336457471923051,2.5741998261970913,5.786366453595195,1.5901757066954032,versicolor,drifted
4.679885930673914,2.993227157384714,4.102928121138968,1.655730000438867,versicolor,drifted
5.6659834092538395,2.8426317792665503,4.802992367388274,1.6597265582510363,versicolor,drifted
5.339762874355379,2.732749382079526,4.215032813303426,1.2040012302278864,versicolor,drifted
7.712363392224877,3.1024908554804775,3.743469627398973,1.6753585841164327,versicolor,drifted
7.997724957610107,3.4162326302755734,3.588378020427592,1.2547297781401245,versicolor,drifted
